cross,mean,SE,sex,enviro,sire,dam
P1,31.28571,3.42758,U,35,1,1
P2,34.78571,8.39229,U,35,2,2
F1,61.57143,8.59085,U,35,2,1
rF1,46.85714,8.28777,U,35,1,2
F2a,69.14286,14.78163,U,35,3,3
F2b,69.00000,15.79029,U,35,3,4
rF2a,74.85714,19.47578,U,35,4,3
rF2b,63.71429,12.81687,U,35,4,4
BC1a,29.00000,14.70180,U,35,3,1
BC1b,54.00000,8.13283,U,35,4,1
rBC1a,69.71429,9.59592,U,35,1,3
rBC1b,42.14286,8.23011,U,35,1,4
BC2a,75.00000,14.45024,U,35,3,2
BC2b,65.00000,15.54869,U,35,4,2
rBC2a,68.42857,6.03110,U,35,2,3
rBC2b,49.28571,15.26389,U,35,2,4
